1778696480.223		21595	21193	45	281	76	20911	79	129	0	200
1778696480.421		767	132	25	561	49	563	84	312	0	200
1778696480.616	close]	725	87	22	468	148	471	98	126	0	404
1778696480.808		697	105	27	492	73	494	79	129	0	200
1778696480.997		604	93	25	444	42	448	84	312	0	200
1778696481.184	close]	557	94	28	371	64	374	98	126	0	404
1778696481.368		721	123	28	492	78	458	79	129	0	200
1778696481.549		555	87	27	359	82	361	84	312	0	200
1778696481.728	close]	1137	135	28	937	37	945	98	126	0	404
1778696481.905		614	97	26	447	44	450	79	129	0	200
1778696482.079		624	95	27	455	47	457	84	312	0	200
1778696482.251	close]	671	87	24	389	171	392	98	126	0	404
1778696482.421		508	99	26	341	42	345	79	129	0	200
1778696482.588		671	89	27	510	45	512	84	312	0	200
1778696482.755	close]	537	82	23	388	44	387	98	126	0	404
1778696482.919		606	94	27	422	63	424	79	129	0	200
1778696483.082		509	82	21	376	30	378	84	312	0	200
1778696483.242	close]	704	94	25	524	61	529	98	126	0	404
1778696483.401		730	118	29	513	70	514	79	129	0	200
1778696483.559		673	85	25	514	49	514	84	312	0	200
1778696483.714	close]	658	82	25	507	44	508	98	126	0	404
1778696483.869		676	97	29	493	57	495	79	129	0	200
1778696484.020		565	98	28	397	42	411	84	312	0	200
1778696484.172	close]	616	97	26	371	122	374	98	126	0	404
1778696484.322		618	109	30	407	72	411	79	129	0	200
1778696484.471		638	108	29	421	80	426	84	312	0	200
1778696484.618	close]	529	101	28	347	53	349	98	126	0	404
1778696484.763		506	94	27	355	30	357	79	129	0	200
1778696484.907		623	87	27	394	115	395	84	312	0	200
1778696485.051	close]	634	87	23	466	58	467	98	126	0	404
1778696485.193		532	90	24	389	29	391	79	129	0	200
1778696485.334		675	118	30	448	79	449	84	312	0	200
1778696485.473	close]	483	88	26	336	33	337	98	126	0	404
1778696485.612		575	96	27	360	92	363	79	129	0	200
1778696485.750		649	91	25	473	60	476	84	312	0	200
1778696485.886	close]	578	95	27	413	43	415	98	126	0	404
1778696486.021		596	102	25	416	53	419	79	129	0	200
1778696486.156		600	109	45	408	38	412	84	312	0	200
1778696486.289	close]	723	109	25	530	59	531	98	126	0	404
1778696486.420		617	112	29	441	35	445	79	129	0	200
1778696486.553		672	89	28	450	105	453	84	312	0	200
1778696486.682	close]	466	83	24	320	39	320	98	126	0	404
1778696486.813		550	102	30	387	31	390	79	129	0	200
1778696486.941		599	82	27	445	45	435	84	312	0	200
1778696487.069	close]	633	108	27	462	36	464	98	126	0	404
1778696487.196		565	95	28	408	34	411	79	129	0	200
1778696487.322		2097	128	30	1905	34	1909	84	312	0	200
1778696487.447	close]	668	108	30	460	70	462	98	126	0	404
1778696487.571		635	85	21	485	44	487	79	129	0	200
1778696487.695		472	101	25	307	39	308	84	312	0	200
1778696487.818	close]	658	97	36	427	98	429	98	126	0	404
1778696487.941		657	111	27	475	44	477	79	129	0	200
1778696488.062		509	83	21	371	34	372	84	312	0	200
1778696488.182	close]	591	92	27	431	41	434	98	126	0	404
1778696488.302		590	100	30	423	37	411	79	129	0	200
1778696488.422		636	111	27	413	85	414	84	312	0	200
1778696488.540	close]	570	82	27	413	48	415	98	126	0	404
1778696488.658		526	93	26	357	50	359	79	129	0	200
1778696488.774		650	103	46	446	55	449	84	312	0	200
1778696488.891	close]	573	83	24	438	28	441	98	126	0	404
1778696489.007		578	81	23	431	43	434	79	129	0	200
1778696489.121		569	83	25	336	125	339	84	312	0	200
1778696489.237	close]	1711	114	27	1521	49	1514	98	126	0	404
1778696489.351		915	126	30	725	34	728	79	129	0	200
1778696489.464		643	112	29	470	32	473	84	312	0	200
1778696489.577	close]	521	81	25	358	57	359	98	126	0	404
1778696489.689		605	84	27	444	50	447	79	129	0	200
1778696489.800		618	106	30	436	46	440	84	312	0	200
1778696489.911	close]	509	84	26	357	42	359	98	126	0	404
1778696490.022		658	81	26	506	45	507	79	129	0	200
1778696490.130		537	86	24	397	30	399	84	312	0	200
1778696490.241	close]	891	125	29	702	35	706	98	126	0	404
1778696490.349		706	107	28	523	48	526	79	129	0	200
1778696490.458		669	117	30	491	31	496	84	312	0	200
1778696490.565	close]	710	111	29	510	60	515	98	126	0	404
1778696490.672		550	87	18	392	53	396	79	129	0	200
1778696490.779		625	98	27	443	57	446	84	312	0	200
1778696490.885	close]	519	96	28	356	39	359	98	126	0	404
1778696490.991		592	95	28	413	56	417	79	129	0	200
1778696491.096		543	88	25	398	32	401	84	312	0	200
1778696491.201	close]	556	93	24	400	39	404	98	126	0	404
1778696491.305		579	111	33	389	46	392	79	129	0	200
1778696491.409		624	128	23	435	38	440	84	312	0	200
1778696491.512	close]	623	113	30	433	47	438	98	126	0	404
1778696491.615		651	93	28	412	118	415	79	129	0	200
1778696491.717		604	93	26	438	47	441	84	312	0	200
1778696491.818	close]	605	107	29	407	62	410	98	126	0	404
1778696491.921		623	85	25	469	44	470	79	129	0	200
